32:1293988, ack 721, win 501, length 156
02:45:23.756232 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1302464:1302620, ack 721, win 501, length 156
02:45:23.756293 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1302620:1302776, ack 721, win 501, length 156
02:45:23.756341 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1302776:1302932, ack 721, win 501, length 156
02:45:23.756407 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1300488, win 8337, length 0
02:45:23.756469 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1302932:1303088, ack 721, win 501, length 156
02:45:23.756514 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1303088:1303228, ack 721, win 501, length 140
02:45:23.756556 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1303228:1303384, ack 721, win 501, length 156
02:45:23.756600 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1303384:1303540, ack 721, win 501, length 156
02:45:23.756641 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1303540:1303696, ack 721, win 501, length 156
02:45:23.756687 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1303696:1303852, ack 721, win 501, length 156
02:45:23.756730 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1303852:1304008, ack 721, win 501, length 156
02:45:23.756772 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1304008:1304164, ack 721, win 501, length 156
02:45:23.756825 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1304164:1304476, ack 721, win 501, length 312
02:45:23.758362 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1304476:1304632, ack 721, win 501, length 156
02:45:23.758504 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1302152, win 8337, length 0
02:45:23.758534 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1304632:1304788, ack 721, win 501, length 156
02:45:23.758609 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1304788:1305048, ack 721, win 501, length 260
02:45:23.758778 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305048:1305204, ack 721, win 501, length 156
02:45:23.758967 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305204:1305360, ack 721, win 501, length 156
02:45:23.759796 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305360:1305516, ack 721, win 501, length 156
02:45:23.759928 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305516:1305672, ack 721, win 501, length 156
02:45:23.759994 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305672:1305828, ack 721, win 501, length 156
02:45:23.760071 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305828:1305984, ack 721, win 501, length 156
02:45:23.760121 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1305984:1306140, ack 721, win 501, length 156
02:45:23.760171 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1306140:1306296, ack 721, win 501, length 156
02:45:23.760226 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1306296:1306452, ack 721, win 501, length 156
02:45:23.760275 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1306452:1306608, ack 721, win 501, length 156
02:45:23.760326 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1306608:1306764, ack 721, win 501, length 156
02:45:23.760383 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1304476, win 8337, length 0
02:45:23.760445 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1306764:1306920, ack 721, win 501, length 156
02:45:23.760501 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1306920:1307180, ack 721, win 501, length 260
02:45:23.760553 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1307180:1307336, ack 721, win 501, length 156
02:45:23.760658 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1307336:1307492, ack 721, win 501, length 156
02:45:23.760812 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1307492:1307648, ack 721, win 501, length 156
02:45:23.760876 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1307648:1307804, ack 721, win 501, length 156
02:45:23.760928 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1307804:1307960, ack 721, win 501, length 156
02:45:23.760994 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1307960:1308116, ack 721, win 501, length 156
02:45:23.761068 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1308116:1308272, ack 721, win 501, length 156
02:45:23.761198 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1308272:1308428, ack 721, win 501, length 156
02:45:23.761255 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1308428:1308584, ack 721, win 501, length 156
02:45:23.761324 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1308584:1308740, ack 721, win 501, length 156
02:45:23.761393 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1308740:1308896, ack 721, win 501, length 156
02:45:23.761453 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1308896:1309052, ack 721, win 501, length 156
02:45:23.761494 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309052:1309208, ack 721, win 501, length 156
02:45:23.761551 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309208:1309364, ack 721, win 501, length 156
02:45:23.761610 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309364:1309520, ack 721, win 501, length 156
02:45:23.761665 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309520:1309676, ack 721, win 501, length 156
02:45:23.761707 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309676:1309832, ack 721, win 501, length 156
02:45:23.761751 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309832:1309988, ack 721, win 501, length 156
02:45:23.762211 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1309988:1310144, ack 721, win 501, length 156
02:45:23.762609 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1305516, win 8333, length 0
02:45:23.762775 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1310144:1310404, ack 721, win 501, length 260
02:45:23.762855 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1310404:1310560, ack 721, win 501, length 156
02:45:23.762959 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1310560:1310716, ack 721, win 501, length 156
02:45:23.763002 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1310716:1310872, ack 721, win 501, length 156
02:45:23.763055 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1310872:1311028, ack 721, win 501, length 156
02:45:23.763346 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1311028:1311184, ack 721, win 501, length 156
02:45:23.763427 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1311184:1311340, ack 721, win 501, length 156
02:45:23.763561 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1311340:1311496, ack 721, win 501, length 156
02:45:23.763617 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1311496:1311652, ack 721, win 501, length 156
02:45:23.765176 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1309832, win 8337, length 0
02:45:23.765246 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1311652:1311808, ack 721, win 501, length 156
02:45:23.765389 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [P.], seq 721:757, ack 1309832, win 8337, length 36
02:45:23.765446 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1311808:1312068, ack 757, win 501, length 260
02:45:23.765515 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1312068:1312380, ack 757, win 501, length 312
02:45:23.765622 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1312380:1312536, ack 757, win 501, length 156
02:45:23.765745 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1312536:1312692, ack 757, win 501, length 156
02:45:23.765819 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1312692:1312848, ack 757, win 501, length 156
02:45:23.765867 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1312848:1313004, ack 757, win 501, length 156
02:45:23.765935 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313004:1313160, ack 757, win 501, length 156
02:45:23.765982 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313160:1313316, ack 757, win 501, length 156
02:45:23.766042 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313316:1313472, ack 757, win 501, length 156
02:45:23.766093 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313472:1313628, ack 757, win 501, length 156
02:45:23.766138 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313628:1313784, ack 757, win 501, length 156
02:45:23.766187 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313784:1313940, ack 757, win 501, length 156
02:45:23.766234 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1313940:1314096, ack 757, win 501, length 156
02:45:23.766281 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1314096:1314252, ack 757, win 501, length 156
02:45:23.766374 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1314252:1314408, ack 757, win 501, length 156
02:45:23.766424 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1314408:1314564, ack 757, win 501, length 156
02:45:23.766440 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1311496, win 8337, length 0
02:45:23.766509 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1314564:1314824, ack 757, win 501, length 260
02:45:23.766686 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1314824:1314980, ack 757, win 501, length 156
02:45:23.766761 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1314980:1315136, ack 757, win 501, length 156
02:45:23.766806 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1315136:1315292, ack 757, win 501, length 156
02:45:23.766870 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1315292:1315448, ack 757, win 501, length 156
02:45:23.766916 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1315448:1315604, ack 757, win 501, length 156
02:45:23.766959 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1315604:1315760, ack 757, win 501, length 156
02:45:23.767002 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1315760:1315916, ack 757, win 501, length 156
02:45:23.767735 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1315916:1316072, ack 757, win 501, length 156
02:45:23.767930 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1316072:1316228, ack 757, win 501, length 156
02:45:23.768085 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1316228:1316384, ack 757, win 501, length 156
02:45:23.768316 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1316384:1316540, ack 757, win 501, length 156
02:45:23.770642 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1313316, win 8337, length 0
02:45:23.770643 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1316228, win 8337, length 0
02:45:23.770719 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1316540:1316696, ack 757, win 501, length 156
02:45:23.770934 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1316696:1317060, ack 757, win 501, length 364
02:45:23.771003 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317060:1317216, ack 757, win 501, length 156
02:45:23.771532 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317216:1317372, ack 757, win 501, length 156
02:45:23.771715 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317372:1317528, ack 757, win 501, length 156
02:45:23.771778 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317528:1317684, ack 757, win 501, length 156
02:45:23.771827 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317684:1317840, ack 757, win 501, length 156
02:45:23.771864 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317840:1317996, ack 757, win 501, length 156
02:45:23.771905 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1317996:1318152, ack 757, win 501, length 156
02:45:23.771951 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1318152:1318308, ack 757, win 501, length 156
02:45:23.771996 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1318308:1318464, ack 757, win 501, length 156
02:45:23.772040 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1318464:1318620, ack 757, win 501, length 156
02:45:23.772086 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1318620:1318776, ack 757, win 501, length 156
02:45:23.772133 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1318776:1318932, ack 757, win 501, length 156
02:45:23.772182 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1318932:1319088, ack 757, win 501, length 156
02:45:23.772222 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1319088:1319244, ack 757, win 501, length 156
02:45:23.772258 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1319244:1319400, ack 757, win 501, length 156
02:45:23.772309 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1319400:1319556, ack 757, win 501, length 156
02:45:23.772350 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1319556:1319712, ack 757, win 501, length 156
02:45:23.772384 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1319712:1319868, ack 757, win 501, length 156
02:45:23.772499 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1319868:1320024, ack 757, win 501, length 156
02:45:23.772545 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320024:1320180, ack 757, win 501, length 156
02:45:23.772589 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320180:1320336, ack 757, win 501, length 156
02:45:23.772634 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320336:1320492, ack 757, win 501, length 156
02:45:23.772681 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320492:1320648, ack 757, win 501, length 156
02:45:23.772795 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320648:1320804, ack 757, win 501, length 156
02:45:23.772844 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320804:1320960, ack 757, win 501, length 156
02:45:23.772885 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1320960:1321116, ack 757, win 501, length 156
02:45:23.772927 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1321116:1321272, ack 757, win 501, length 156
02:45:23.772968 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1321272:1321428, ack 757, win 501, length 156
02:45:23.773009 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1321428:1321584, ack 757, win 501, length 156
02:45:23.773578 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1321584:1321740, ack 757, win 501, length 156
02:45:23.773733 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1321740:1321896, ack 757, win 501, length 156
02:45:23.774702 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1318152, win 8337, length 0
02:45:23.774780 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1321896:1322052, ack 757, win 501, length 156
02:45:23.774939 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1322052:1322312, ack 757, win 501, length 260
02:45:23.775001 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1322312:1322468, ack 757, win 501, length 156
02:45:23.775433 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1322468:1322624, ack 757, win 501, length 156
02:45:23.775567 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1322624:1322780, ack 757, win 501, length 156
02:45:23.775775 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1322780:1322936, ack 757, win 501, length 156
02:45:23.775930 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1322936:1323092, ack 757, win 501, length 156
02:45:23.776315 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1323092:1323248, ack 757, win 501, length 156
02:45:23.776416 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1321740, win 8337, length 0
02:45:23.776563 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1323248:1323404, ack 757, win 501, length 156
02:45:23.776646 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1323404:1323700, ack 757, win 501, length 296
02:45:23.776808 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1323700:1323856, ack 757, win 501, length 156
02:45:23.776934 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1323856:1324012, ack 757, win 501, length 156
02:45:23.777039 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324012:1324168, ack 757, win 501, length 156
02:45:23.777137 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324168:1324324, ack 757, win 501, length 156
02:45:23.777766 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324324:1324480, ack 757, win 501, length 156
02:45:23.777949 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324480:1324636, ack 757, win 501, length 156
02:45:23.778005 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324636:1324792, ack 757, win 501, length 156
02:45:23.778047 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324792:1324948, ack 757, win 501, length 156
02:45:23.778213 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1324948:1325104, ack 757, win 501, length 156
02:45:23.778261 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1325104:1325260, ack 757, win 501, length 156
02:45:23.778301 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1325260:1325416, ack 757, win 501, length 156
02:45:23.778340 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1325416:1325572, ack 757, win 501, length 156
02:45:23.778403 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1325572:1325728, ack 757, win 501, length 156
02:45:23.778445 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1325728:1325884, ack 757, win 501, length 156
02:45:23.778573 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1325884:1326040, ack 757, win 501, length 156
02:45:23.778622 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326040:1326196, ack 757, win 501, length 156
02:45:23.778753 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326196:1326352, ack 757, win 501, length 156
02:45:23.778798 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326352:1326508, ack 757, win 501, length 156
02:45:23.778838 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326508:1326664, ack 757, win 501, length 156
